dataset,architecture,method,n_member,n_nonmember,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
cinic,densenet121,base,40500,23760,0.9577629159140734,0.8788437092576414,0.07891920665643193,0.13059914762860766,0.3297437761656025,-0.19914462853699486,0.9256117023236957,0.793253505553561,0.13235819677013472,0.09201177107277261,1.4377071919998883,-1.3456954209271157,0.970320987654321,0.6725589225589226,0.2977620650953984,2.4187411925250286,2.3685340829101675,0.05020710961486108
cinic,densenet121,swmr,40500,23760,0.7614483355732612,0.7332223963500424,0.02822593922321881,0.7643187993578189,0.8360299277061413,-0.07171112834832238,0.6391009427827817,0.5976712809593389,0.041429661823442876,0.8878594048529791,1.3177872195248872,-0.4299278146719081,0.7088395061728395,0.5792508417508417,0.1295886644219978,3.48653893361213,3.243855676223659,0.2426832573884714
cinic,densenet121,radd,40500,23760,0.8398520992659493,0.8228940469893291,0.016958052276620172,0.459659772915103,0.5016541651348048,-0.04199439221970175,0.7422017451579924,0.713937829296898,0.028263915861094446,0.9072187009331873,1.165285626515407,-0.25806692558221966,0.7290123456790123,0.6626262626262627,0.06638608305274962,1.5114476494709617,1.312524357570701,0.1989232919002606
