dataset,architecture,method,n_member,n_nonmember,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
resisc45,resnet18,base,11340,4990,0.9948050169297207,0.7872016850955978,0.20760333183412283,0.030816564716292277,0.7236662537059729,-0.6928496889896807,0.9917762236541541,0.6896978566785136,0.3020783669756405,0.006020177985698424,1.216258149812565,-1.2102379718268668,0.9991181657848325,0.6771543086172345,0.321963857167598,4.87437508355767,3.199886923114618,1.674488160443052
resisc45,resnet18,swmr,11340,4990,0.5916918254110838,0.4947378487395261,0.0969539766715577,1.6262842043651708,1.9694827837820328,-0.34319857941686194,0.4821944980762202,0.3751567498267533,0.10703774824946694,1.1683684750928176,1.9546904455952911,-0.7863219705024735,0.6961199294532627,0.45831663326653305,0.23780329618672968,5.064698397866212,4.821636275860494,0.24306212200571764
resisc45,resnet18,radd,11340,4990,0.6926261463020214,0.6622250815580986,0.03040106474392279,1.0445372394307417,1.1459386354353318,-0.10140139600459008,0.5704971025630543,0.5321891440433228,0.038307958519731455,1.218272207519392,1.497313860798777,-0.2790416532793851,0.6391534391534391,0.5709418837675351,0.06821155538590407,1.721658671949867,1.4491074049804278,0.2725512669694392
