dataset,architecture,method,risk_bin,n_member,memscore_mean,memscore_min,memscore_max,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
resisc45,resnet18,base,1,2268,0.4748789925141362,0.004887619987130165,0.555873453617096,0.9959439121751769,0.7872016850955978,0.208742227079579,0.020781927147110347,0.7236662537059729,-0.7028843265588626,0.9930891080823525,0.6896978566785136,0.30339125140383894,0.0052030596321379205,1.216258149812565,-1.2110550901804271,0.9986772486772487,0.6771543086172345,0.32152294006001425,3.690362991564751,3.199886923114618,0.49047606845013325
resisc45,resnet18,base,2,2268,0.6194587640556288,0.5558814406394958,0.6776068806648254,0.9941831583541537,0.7872016850955978,0.20698147325855587,0.0310631173103584,0.7236662537059729,-0.6926031363956145,0.9903894304519608,0.6896978566785136,0.30069157377344724,0.0069694434011016645,1.216258149812565,-1.2092887064114635,0.9986772486772487,0.6771543086172345,0.32152294006001425,4.38909435351716,3.199886923114618,1.1892074304025417
resisc45,resnet18,base,3,2268,0.7350991695488571,0.6777068376541138,0.79063880443573,0.9946744438832399,0.7872016850955978,0.20747275878764204,0.031385930544918,0.7236662537059729,-0.6922803231610549,0.9916674888691154,0.6896978566785136,0.3019696321906018,0.006315433883816611,1.216258149812565,-1.2099427159287486,0.9986772486772487,0.6771543086172345,0.32152294006001425,4.815303506168687,3.199886923114618,1.6154165830540688
resisc45,resnet18,base,4,2268,0.8453312617393187,0.7906904220581055,0.8970490097999573,0.994959062474535,0.7872016850955978,0.20775737737893718,0.03346664801961534,0.7236662537059729,-0.6901996056863576,0.9924299806829483,0.6896978566785136,0.3027321240044347,0.005200676122038547,1.216258149812565,-1.2110574736905266,1.0,0.6771543086172345,0.32284569138276553,5.323490468558496,3.199886923114618,2.1236035454438777
resisc45,resnet18,base,5,2268,0.9550857620947786,0.8971103429794312,0.9999624490737915,0.9942645077614978,0.7872016850955978,0.20706282266589993,0.037385200559459285,0.7236662537059729,-0.6862810531465137,0.9913051101843936,0.6896978566785136,0.30160725350588,0.006412276889397372,1.216258149812565,-1.2098458729231678,0.9995590828924162,0.6771543086172345,0.32240477427518177,6.153624097979258,3.199886923114618,2.9537371748646404
resisc45,resnet18,swmr,1,2268,0.4748789925141362,0.004887619987130165,0.555873453617096,0.710498834101112,0.4947378487395261,0.21576098536158594,1.1303842796638552,1.9694827837820328,-0.8390985041181775,0.6189283778450766,0.3751567498267533,0.2437716280183233,0.9012528949871875,1.9546904455952911,-1.0534375506081037,0.75,0.45831663326653305,0.29168336673346695,5.019303967818171,4.821636275860494,0.19766769195767697
resisc45,resnet18,swmr,2,2268,0.6194587640556288,0.5558814406394958,0.6776068806648254,0.5911653894615709,0.4947378487395261,0.09642754072204485,1.5979180532719,1.9694827837820328,-0.37156473051013283,0.4791829521378512,0.3751567498267533,0.10402620231109794,1.3447044372719217,1.9546904455952911,-0.6099860083233695,0.6380070546737213,0.45831663326653305,0.17969042140718827,5.793998452222116,4.821636275860494,0.9723621763616217
resisc45,resnet18,swmr,3,2268,0.7350991695488571,0.6777068376541138,0.79063880443573,0.524554638334959,0.4947378487395261,0.02981678959543288,1.870061827575855,1.9694827837820328,-0.09942095620617786,0.40271300065940546,0.3751567498267533,0.027556250832652174,1.4756319412821575,1.9546904455952911,-0.4790585043131337,0.5868606701940036,0.45831663326653305,0.12854403692747052,5.693490425982173,4.821636275860494,0.8718541501216786
resisc45,resnet18,swmr,4,2268,0.8453312617393187,0.7906904220581055,0.8970490097999573,0.5601870508887518,0.4947378487395261,0.06544920214922567,1.7752830070899053,1.9694827837820328,-0.1941997766921275,0.4459924575670686,0.3751567498267533,0.07083570774031533,1.142850468586547,1.9546904455952911,-0.8118399770087441,0.722663139329806,0.45831663326653305,0.2643465060632729,4.685786559731031,4.821636275860494,-0.13584971612946362
resisc45,resnet18,swmr,5,2268,0.9550857620947786,0.8971103429794312,0.9999624490737915,0.572053214269025,0.4947378487395261,0.07731536552949891,1.757773854224339,1.9694827837820328,-0.21170892955769371,0.4641557021716994,0.3751567498267533,0.08899895234494609,0.9774026333362749,1.9546904455952911,-0.9772878122590163,0.783068783068783,0.45831663326653305,0.32475214980225,4.13091258357757,4.821636275860494,-0.6907236922829245
resisc45,resnet18,radd,1,2268,0.4748789925141362,0.004887619987130165,0.555873453617096,0.9269907376425082,0.6622250815580986,0.2647656560844096,0.2866270603368406,1.1459386354353318,-0.8593115750984912,0.8863053856158015,0.5321891440433228,0.3541162415724787,0.10758745017430393,1.497313860798777,-1.389726410624473,0.9814814814814815,0.5709418837675351,0.41053959771394644,0.6880955118258899,1.4491074049804278,-0.7610118931545379
resisc45,resnet18,radd,2,2268,0.6194587640556288,0.5558814406394958,0.6776068806648254,0.8110358083794778,0.6622250815580986,0.1488107268213792,0.6674166415820384,1.1459386354353318,-0.4785219938532934,0.7193603048649677,0.5321891440433228,0.18717116082164487,0.4864079217620839,1.497313860798777,-1.010905939036693,0.8580246913580247,0.5709418837675351,0.28708280759048965,1.2877652158080297,1.4491074049804278,-0.16134218917239807
resisc45,resnet18,radd,3,2268,0.7350991695488571,0.6777068376541138,0.79063880443573,0.6675102484676941,0.6622250815580986,0.005285166909595573,1.107624935549883,1.1459386354353318,-0.03831369988544875,0.5224416779429771,0.5321891440433228,-0.009747466100345714,0.9891795699691863,1.497313860798777,-0.5081342908295907,0.6754850088183422,0.5709418837675351,0.1045431250508071,1.8725500529076793,1.4491074049804278,0.4234426479272515
