scope,combo,group,metric,n,attack_min,attack_max,attack_range,attack_mean,attack_std,acc_min,acc_max,acc_range,acc_mean,acc_std
combo,cifar100_resnet18,high_risk_cap,avg_threshold,4,69.85675,70.60875000000001,0.7520000000000095,70.24300000000001,0.35343112836874163,41.479,42.182,0.703000000000003,41.75775,0.2891897084959982
combo,cifar100_resnet18,high_risk_ratio,avg_threshold,4,69.7105,70.0485,0.33800000000000807,69.8618125,0.12362232997622678,40.812,42.315,1.5030000000000001,41.57875,0.5337163923845698
combo,cifar100_resnet18,distill_weight,avg_threshold,4,69.3285,71.08324999999999,1.7547499999999872,70.134125,0.7110145590105682,38.061,41.964,3.9029999999999987,40.094,1.3945423980646838
combo,location_columnfc,high_risk_cap,avg_threshold,4,63.37775,64.2235,0.8457500000000024,63.9053125,0.33420985992150265,65.113,67.128,2.0150000000000006,66.12075,0.7179597394701182
combo,location_columnfc,high_risk_ratio,avg_threshold,4,63.83525,65.11025,1.2749999999999915,64.3565625,0.4689271456940269,66.121,66.877,0.7560000000000002,66.436,0.2887022687822172
combo,location_columnfc,distill_weight,avg_threshold,4,63.5175,65.90025,2.3827500000000015,64.28524999999999,0.9663376577315005,62.469,66.247,3.7779999999999987,64.893,1.4560212910531207
combo,resisc45_densenet121,high_risk_cap,avg_threshold,4,55.21775,55.85549999999999,0.6377499999999898,55.428687499999995,0.2531267824011272,74.489,76.152,1.6629999999999967,75.3305,0.7299056445870234
combo,resisc45_densenet121,high_risk_ratio,avg_threshold,3,54.72075,55.8925,1.1717499999999959,55.32508333333334,0.4790766437174265,72.886,74.068,1.1820000000000022,73.39333333333333,0.496844263549679
combo,resisc45_densenet121,distill_weight,avg_threshold,4,55.1175,55.400999999999996,0.28349999999999653,55.302437499999996,0.10991138120663319,69.719,74.99,5.271000000000001,73.3515,2.1241678959065378
combo,resisc45_resnet18,high_risk_cap,avg_threshold,4,52.78275,53.47525,0.6925000000000026,53.1953125,0.25688095339816563,58.116,58.697,0.5810000000000031,58.4015,0.2347344244034114
combo,resisc45_resnet18,high_risk_ratio,avg_threshold,4,53.09475,53.662,0.5672500000000014,53.287812499999994,0.22355573794637998,56.473,59.88,3.4070000000000036,57.946,1.2555781536806072
combo,resisc45_resnet18,distill_weight,avg_threshold,4,53.09225,53.556000000000004,0.46375000000000455,53.266312500000005,0.17399087395248755,48.076,59.78,11.704,55.34075,4.539167400250843
overall,ALL,high_risk_cap,avg_threshold,4,53.1953125,70.24300000000001,0.7320000000000011,60.693078125,6.808996907007575,41.75775,75.3305,1.2405000000000008,60.402625,12.320453223831702
overall,ALL,high_risk_ratio,avg_threshold,4,53.287812499999994,69.8618125,0.8379999999999992,60.70781770833333,6.729399413099127,41.57875,73.39333333333333,1.7120000000000015,59.838520833333334,11.877084440796153
overall,ALL,distill_weight,avg_threshold,4,53.266312500000005,70.134125,1.2211874999999974,60.74703125,6.823512202547914,40.094,73.3515,6.164,58.419812500000006,12.350844886807085
