dataset,architecture,method,risk_bin,n_member,memscore_mean,memscore_min,memscore_max,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
location,columnfc,base,1,360,0.13931439180030591,0.018442101776599884,0.2791418731212616,0.9954174439112345,0.7638606350653118,0.23155680884592278,0.030790437472417883,0.6880431772329089,-0.657252739760491,0.9926402585373985,0.6255461585799452,0.36709409995745323,0.004619622390163158,1.1654052956874104,-1.1607856732972472,1.0,0.6523929471032746,0.34760705289672544,0.9954485146535768,0.9521691642551489,0.043279350398427896
location,columnfc,base,2,361,0.39165259571617,0.27930736541748047,0.49297836422920227,0.9908386951008001,0.7638606350653118,0.22697806003548837,0.05886473263305266,0.6880431772329089,-0.6291784445998562,0.9854249666932547,0.6255461585799452,0.3598788081133095,0.009257235373413482,1.1654052956874104,-1.1561480603139969,1.0,0.6523929471032746,0.34760705289672544,1.2051834763747504,0.9521691642551489,0.25301431211960157
location,columnfc,base,3,360,0.5801828785902924,0.4931899905204773,0.6543173789978027,0.9892738102210893,0.7638606350653118,0.22541317515577752,0.07002278098322373,0.6880431772329089,-0.6180203962496851,0.9835244506597519,0.6255461585799452,0.3579782920798067,0.010832648852803889,1.1654052956874104,-1.1545726468346065,1.0,0.6523929471032746,0.34760705289672544,1.3347297103040747,0.9521691642551489,0.38256054604892586
location,columnfc,base,4,361,0.7210386567168618,0.6547461152076721,0.7884182333946228,0.985089385443447,0.7638606350653118,0.22122875037813527,0.09580468935472358,0.6880431772329089,-0.5922384878781852,0.9777886735435338,0.6255461585799452,0.3522425149635886,0.015093976331943527,1.1654052956874104,-1.1503113193554668,1.0,0.6523929471032746,0.34760705289672544,1.3352521127115657,0.9521691642551489,0.3830829484564169
location,columnfc,base,5,361,0.869540453287373,0.7887989282608032,1.0,0.9832926461901361,0.7638606350653118,0.21943201112482436,0.10659197806103356,0.6880431772329089,-0.5814511991718753,0.975785143817891,0.6255461585799452,0.35023898523794583,0.016957678492562335,1.1654052956874104,-1.1484476171948481,1.0,0.6523929471032746,0.34760705289672544,1.3570575432186311,0.9521691642551489,0.4048883789634823
location,columnfc,swmr,1,360,0.13931439180030591,0.018442101776599884,0.2791418731212616,0.6767283094839918,0.4829146032894889,0.1938137061945029,1.1142875962062841,1.6845295362418484,-0.5702419400355643,0.5431301414966583,0.3109310802532083,0.23219906124344997,0.5221440602663077,1.3210831844489506,-0.7989391241826429,0.8916666666666667,0.5793450881612091,0.3123215785054576,2.8584837776919207,1.3921709519902465,1.4663128257016742
location,columnfc,swmr,2,361,0.39165259571617,0.27930736541748047,0.49297836422920227,0.5750734557983288,0.4829146032894889,0.09215885250883993,1.4215682697304397,1.6845295362418484,-0.2629612665114087,0.4089765955701759,0.3109310802532083,0.09804551531696759,0.7625327348758123,1.3210831844489506,-0.5585504495731383,0.7894736842105263,0.5793450881612091,0.21012859604931722,2.2158439856982297,1.3921709519902465,0.8236730337079832
location,columnfc,swmr,3,360,0.5801828785902924,0.4931899905204773,0.6543173789978027,0.5356546001301872,0.4829146032894889,0.0527399968406983,1.5540707867178651,1.6845295362418484,-0.1304587495239833,0.37269820862760145,0.3109310802532083,0.06176712837439313,0.9324641386564407,1.3210831844489506,-0.38861904579250983,0.7444444444444445,0.5793450881612091,0.16509935628323535,1.9979094445705414,1.3921709519902465,0.6057384925802949
location,columnfc,swmr,4,361,0.7210386567168618,0.6547461152076721,0.7884182333946228,0.6213535044620903,0.4829146032894889,0.13843890117260138,1.3947232198434523,1.6845295362418484,-0.28980631639839616,0.5041374416191162,0.3109310802532083,0.1932063613659079,0.6404965107156341,1.3210831844489506,-0.6805866737333165,0.8725761772853186,0.5793450881612091,0.29323108912410945,1.3304558871855696,1.3921709519902465,-0.06171506480467692
location,columnfc,swmr,5,361,0.869540453287373,0.7887989282608032,1.0,0.7172978713365473,0.4829146032894889,0.23438326804705845,1.179205258756133,1.6845295362418484,-0.5053242774857154,0.6381043323271822,0.3109310802532083,0.3271732520739739,0.3983915832791467,1.3210831844489506,-0.9226916011698039,0.961218836565097,0.5793450881612091,0.3818737484038879,1.1534090713285674,1.3921709519902465,-0.23876188066167914
