dataset,architecture,method,n_member,n_nonmember,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
location,columnfc,base,1803,794,0.9887784436155014,0.7638606350653118,0.2249178085501896,0.0724393366953141,0.6880431772329089,-0.6156038405375948,0.98302709725719,0.6255461585799452,0.35748093867724473,0.011356254580652812,1.1654052956874104,-1.1540490411067577,1.0,0.6523929471032746,0.34760705289672544,1.2456235062378482,0.9521691642551489,0.2934543419826994
location,columnfc,swmr,1803,794,0.6252426576082136,0.4829146032894889,0.14232805431872475,1.332769464226197,1.6845295362418484,-0.3517600720156515,0.49344871738224116,0.3109310802532083,0.18251763712903285,0.6511213925870624,1.3210831844489506,-0.6699617918618882,0.8519134775374376,0.5793450881612091,0.2725683893762285,1.9106469710899339,1.3921709519902465,0.5184760190996873
location,columnfc,radd,1803,794,0.7571457019793743,0.6495965029528219,0.10754919902655236,0.8143285891263013,1.0986969506503517,-0.2843683615240503,0.6481396795658025,0.4890196273098665,0.15912005225593606,0.43833061225038344,1.00372203658299,-0.5653914243326066,0.8824181919023849,0.6599496221662469,0.22246856973613804,0.47436466993463416,0.30595831439527743,0.16840635553935673
