combo,method,direction,width,stride,setting,attack,attack_accuracy,path
cifar10_resnet18,rsw,h2l,1000,100,1000-100,SAMIA,74.449,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,rsw,h2l,1000,100,1000-100,NN,72.023,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,rsw,h2l,1000,100,1000-100,Top3-NN,71.6260162601626,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,rsw,h2l,1000,100,1000-100,Cl-NN,74.25691056910568,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Conf,64.495,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Entr,62.793,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Mentr,64.408,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Hconf,64.616,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,SAMIA,76.911,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,NN,74.036,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Top3-NN,74.04552845528455,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,50,500-50,Cl-NN,77.02439024390245,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Conf,62.422,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Entr,60.202,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Mentr,62.466,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Hconf,62.517,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,SAMIA,76.686,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,NN,73.519,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Top3-NN,73.37560975609756,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,h2l,500,100,500-100,Cl-NN,76.50731707317073,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Conf,62.598,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Entr,61.006,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Mentr,62.472,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Hconf,62.589,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,SAMIA,74.66,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,NN,73.372,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,50,1500-50,Cl-NN,74.68617886178862,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Conf,65.836,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Entr,63.663,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Mentr,65.914,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Hconf,65.524,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,SAMIA,78.93,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,NN,76.582,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Top3-NN,76.49756097560976,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1500,100,1500-100,Cl-NN,78.88780487804878,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Conf,58.538,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Entr,57.423,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Mentr,58.5,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Hconf,58.415,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,SAMIA,73.193,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,50,1000-50,Cl-NN,73.11869918699188,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Conf,61.987,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Entr,60.618,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Mentr,62.077,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Hconf,62.095,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,SAMIA,74.172,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,1000,100,1000-100,Cl-NN,73.83414634146341,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Conf,56.097,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Entr,55.495,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Mentr,56.27,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Hconf,56.129,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,SAMIA,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,NN,73.171,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Top3-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,50,500-50,Cl-NN,73.17073170731707,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Conf,59.702,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Entr,58.174,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Mentr,59.833,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,rsw,l2h,500,100,500-100,Hconf,60.041,log/wemem_fig6_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
