,0
0,0.3591808818229488
1,0.577353994051486
2,0.7707401961248929
3,0.6296944864223026
4,0.6147740102308822
5,0.7023399432020752
6,0.5565053270283828
7,0.39594873070111725
8,0.5901551669383195
9,0.5502722144198099
10,0.4307496214772045
11,0.49295202705333985
12,0.5612314136840089
13,0.42952419932906827
14,0.6835373179345872
15,0.6133653665826329
16,0.4317561429308262
17,0.4546961348337796
18,0.7160891924469237
19,0.5687972794322192
20,0.6836585783651696
21,0.7505020599360497
22,0.6039776294076336
23,0.6255017721190179
24,0.6407316340469522
25,0.5066077284409958
26,0.6416251991637947
27,0.6788248514678275
28,0.5500951427788993
29,0.5720060021518214
30,0.6970970362028116
31,0.3598644880095617
32,0.589772743569692
33,0.6386668011140518
34,0.8001710599125834
35,0.6945815768498005
36,0.5797682874484896
37,0.470250661828475
38,0.4460096006219345
39,0.677229491379348
40,0.6046616256515558
41,0.6773055017007852
42,0.43036974346549
43,0.6325226966547172
44,0.587103115729223
45,0.594264103720947
46,0.6079547498503848
47,0.8808479037248802
48,0.6459137348391967
49,0.6043133217805938
50,0.6967075426793573
51,0.44579615487223506
52,0.6872012130058652
53,0.7107781629370206
54,0.5919329890467243
55,0.6236053614060372
56,0.7088005196609194
57,0.6331720640633406
58,0.6095300744388246
59,0.7799352558595858
60,0.7293897069830492
61,0.4142676878337561
62,0.7003753946690382
63,0.610887138000112
64,0.6799774684207313
65,0.3449042454088892
66,0.6051368693472748
67,0.580202214356996
68,0.5018295950940157
69,0.501680053777875
70,0.6473877892344707
71,0.5128480298190927
72,0.6653809294997203
73,0.48812637966731587
74,0.7678958177715555
75,0.5765987302102574
76,0.5731384665874928
77,0.6154934441798
78,0.5561104111758268
79,0.3373291056154913
80,0.6242886033616608
81,0.6725668629210687
82,0.6945499935899606
83,0.6316791237055239
84,0.4576319644072285
85,0.6568799049467027
86,0.45118548059915864
87,0.12192079840591563
88,0.6083366066374734
89,0.6419873347598224
90,0.5288735692530155
91,0.5954687677645811
92,0.5309624819013143
93,0.5585772539455498
94,0.5470253486216147
95,0.6326186576753386
96,0.7416656215665705
97,0.5470116228643367
98,0.6392710709751944
99,0.6102863542928125
100,0.3524601171699569
101,0.697649223961254
102,0.5879527452167403
103,0.4712077437178233
104,0.2605247350617333
105,0.4046739926781435
106,0.6670265868791776
107,0.5229817772914388
108,0.6072189979271487
109,0.7136159344991527
110,0.4495244509679517
111,0.5513466766679527
112,0.49515818054505417
113,0.4755748668885368
114,0.5705765350345173
115,0.6018798448858645
116,0.6422961781436132
117,0.6734119877126016
118,0.4674949987943422
119,0.6450150670272458
120,0.6757592122862023
121,0.506081542461922
122,0.5239657888439256
123,0.2820684527925317
124,0.4624348675914813
125,0.4558972855659969
126,0.637507717463585
127,0.3893651043405806
128,0.6775190752508318
129,0.6589326961581489
130,0.40441875834495006
131,0.3545545774183224
132,0.5405764866620859
133,0.37429964584415115
134,0.6267531009950146
135,0.7507787607670754
136,0.5986056666891163
137,0.623438530899503
138,0.38313284373432166
139,0.7303973512159702
140,0.5173601744336714
141,0.7354040332975549
142,0.6849234416972996
143,0.4614531394051959
